,brand_name_0,brand_name_1,brand_name_2,brand_name_3,brand_name_4,brand_name_5,brand_name_6,brand_name_7,brand_name_8,adaptive_sync_technology_0,adaptive_sync_technology_1,adaptive_sync_technology_2,adaptive_sync_technology_3,display_type_0,display_type_1,display_type_2,display_type_3,display_type_4,ram_type_0,ram_type_1,ram_type_2,ram_type_3,ram_type_4,graphics_ram_type_0,graphics_ram_type_1,graphics_ram_type_2,cpu_manufacturer_0,cpu_manufacturer_1,gpu_manufacturer_0,gpu_manufacturer_1,gpu_manufacturer_2,os_0,os_1,os_2,os_3,os_4,os_5,screen_resolution_name_0,screen_resolution_name_1,screen_resolution_name_2,screen_resolution_name_3,screen_resolution_name_4,screen_resolution_name_5,screen_resolution_name_6,cpu_family_0,cpu_family_1,cpu_family_2,cpu_family_3,cpu_family_4,cpu_family_5,cpu_family_6,cpu_family_7,cpu_family_8,cpu_family_9,cpu_family_10,cpu_family_11,cpu_family_12,cpu_family_13,cpu_architecture_0,cpu_architecture_1,cpu_architecture_2,cpu_architecture_3,cpu_architecture_4,cpu_architecture_5,cpu_architecture_6,cpu_architecture_7,cpu_architecture_8,cpu_architecture_9,cpu_architecture_10,cpu_architecture_11,cpu_architecture_12,max_cpu_frequency,web_camera,weight,ethernet_adapter,microphone,warranty_duration,depth,screen_diagonal,battery_capacity,gaming_laptop,kensington_lock,cpu_cores_num,l2_cache,l3_cache,screen_refresh_rate,threads_num,max_possible_ram,hdd_capacity,ssd_capacity,graphics_ram,optical_disc_drive,ppi,usb_power_delivery,keyboard_backlight,usb_2_0_ports,usb_3_x_ports,usb_type_c_ports,estimated_battery_life,ram,M_2_connector,touch_screen,fingerprint_scanner,cpu_lithography,height,numeric_keypad,cpu_frequency,ram_frequency,width,release_year,memory_slots_num,multiple_35jacks,cellular_communication,dedicated_graphics,dedicated_graphics_only,usb2ethernet_adapter,display_port,hdmi,thunderbolt_2,thunderbolt_3,thunderbolt_4,vga,micro_hdmi,mini_display_port,additional_accessories,2_in_1,emcc,metal,plastic,carbon,bluetooth,bluetooth_4_0,bluetooth_4_1,bluetooth_4_2,bluetooth_5_0,bluetooth_5_1,miracast,nfc,mmc,ms,micro_media,sd,sdhc,sdxc,micro_sd,micro_sdhc,micro_sdxc,glossy_display,screen_width_pixels,screen_height_pixels,hdd_increased_speed,best_wi_fi_standard,li_ion_battery_type,ultrabook,touch_numeric_keypad,cpu_scores,dedicated_gpu_scores,integrated_gpu_scores,NTSC,sRGB,battery_capacity_is_missing,usb_power_delivery_is_missing,estimated_battery_life_is_missing,ram_frequency_is_missing,memory_slots_num_is_missing,NTSC_is_missing,sRGB_is_missing,price
376,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2,True,1.3,False,True,12.0,194.6,13.3,4594.594594594595,False,False,4,5.0,8.0,60.0,8.0,16,0.0,512.0,0.0,False,166.0,1.0,1.0,0.0,2.0,1.0,9.020338983050847,16,1.0,False,1.0,10.0,16.9,False,2.4,2666.0,306.5,2020.0,0.0,False,False,False,False,False,False,False,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,1.0,1920,1080,False,6,True,False,False,9677,0.0,2918.0,45.0,100.0,False,False,True,False,False,True,False,79999.0
377,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,True,1.49,True,True,12.0,231.0,13.3,4054.054054054054,False,True,4,1.0,8.0,60.0,8.0,16,0.0,512.0,0.0,False,165.6,0.0,0.0,0.0,2.0,1.0,9.020338983050847,16,1.0,False,1.0,14.0,18.0,False,1.8,2400.0,308.5,2020.0,2.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,0.0,1920,1080,False,6,True,False,False,6986,0.0,920.0,45.0,100.0,False,True,True,False,False,False,True,79999.0
573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,True,1.33,False,True,24.0,207.0,13.3,6500.0,False,True,4,1.0,6.0,60.0,8.0,8,0.0,256.0,0.0,False,165.6,1.0,1.0,0.0,0.0,1.0,14.0,8,1.0,False,0.0,14.0,13.0,False,1.6,3733.0,296.0,2019.0,0.0,False,False,False,False,False,False,False,0,2,0,False,0,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,6,True,True,False,6544,0.0,920.0,45.0,100.0,False,False,False,False,False,True,False,112999.0
507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,True,1.54,False,True,12.0,208.0,14.0,5468.468468468469,False,False,4,2.0,6.0,60.0,8.0,16,0.0,1024.0,0.0,False,141.0,1.0,1.0,0.0,2.0,1.0,14.0,16,1.0,False,0.0,10.0,14.9,False,1.1,3200.0,320.6,2020.0,0.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,6,False,False,False,8380,0.0,1878.0,45.0,100.0,False,False,False,False,False,True,False,95999.0
508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,True,1.54,False,True,12.0,208.0,14.0,4545.521889782763,False,False,4,2.0,8.0,60.0,8.0,16,0.0,512.0,0.0,False,141.0,1.0,1.0,0.0,2.0,1.0,14.0,16,1.0,False,0.0,10.0,14.9,False,1.3,3200.0,320.6,2020.0,0.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,1.0,1920,1080,False,6,False,False,False,8977,0.0,1878.0,45.0,100.0,True,False,False,False,False,True,False,95999.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,True,1.6,False,True,12.0,216.0,14.0,4545.521889782763,False,True,2,1.0,0.0,60.0,2.0,8,0.0,128.0,0.0,False,157.0,0.0,0.0,2.0,1.0,1.0,9.020338983050847,4,1.0,False,0.0,28.0,23.1,False,3.1,1866.0,325.0,2020.0,1.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False,1580,0.0,407.0,45.0,100.0,True,False,True,False,False,False,True,31999.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,True,1.5,False,True,12.0,216.0,14.0,4545.521889782763,False,True,2,1.0,4.0,60.0,2.0,12,0.0,256.0,0.0,False,157.0,0.0,0.5,2.0,1.0,1.0,9.020338983050847,4,1.0,False,0.5,14.0,22.9,False,2.3,2400.0,325.0,2020.0,1.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False,3205,0.0,897.0,45.0,100.0,True,True,True,False,False,False,True,32999.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,True,1.9,False,True,12.0,235.0,15.6,4545.521889782763,False,True,2,1.0,0.0,60.0,2.0,12,0.0,128.0,0.0,False,141.0,0.0,0.0,2.0,1.0,1.0,9.020338983050847,4,1.0,False,0.0,28.0,22.9,True,3.1,1866.0,360.0,2020.0,1.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False,1580,0.0,407.0,45.0,100.0,True,False,True,False,False,True,True,32999.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1195187165775495,True,1.9,False,True,12.0,235.0,15.6,4545.521889782763,False,True,2,0.5,2.0,60.0,4.0,12,0.0,256.0,0.0,False,141.0,0.0,0.0,2.0,1.0,1.0,9.020338983050847,4,1.0,False,0.0,14.0,22.9,True,2.3,2133.0,360.0,2020.0,1.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1920,1080,False,5,True,False,False,2315,0.0,1920.0,45.0,100.0,True,False,True,False,False,True,True,32999.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,True,1.63,False,True,12.0,236.4,15.6,3783.783783783784,False,True,2,4.0,0.0,60.0,2.0,4,0.0,128.0,0.0,False,101.0,0.0,0.0,2.0,1.0,1.0,9.020338983050847,4,1.0,False,0.0,14.0,18.1,True,1.1,2763.5479452054797,360.2,2020.0,2.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0.0,1366,768,False,5,True,False,False,1618,0.0,333.0,45.0,100.0,False,True,True,True,True,False,True,32999.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7,True,1.38,False,True,12.0,211.59,14.0,4545.521889782763,False,False,4,2.0,4.0,60.0,4.0,8,0.0,256.0,0.0,False,157.0,1.0,1.0,0.0,2.0,1.0,11.5,8,1.0,False,0.0,7.0,16.9,False,2.7,3200.0,321.57,2020.0,0.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,0.0,1920,1080,False,5,False,False,False,7740,0.0,2790.0,45.0,100.0,True,False,False,False,False,False,True,54999.0
697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,True,2.1,True,True,12.0,255.0,15.6,5400.0,True,True,8,2.0,16.0,300.0,16.0,32,0.0,1024.0,8.0,False,141.0,0.0,1.0,0.0,3.0,1.0,4.0,16,1.0,False,0.0,14.0,17.9,False,2.3,2933.0,358.5,2020.0,2.0,True,False,True,False,False,True,True,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1920,1080,False,6,False,False,False,15972,13889.0,1163.0,45.0,94.0,False,True,False,False,False,True,False,211599.0
229,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,True,1.53,False,True,12.0,229.9,15.6,5045.045045045045,False,False,6,3.0,8.0,60.0,6.0,8,0.0,512.0,0.0,False,141.0,1.0,0.0,1.0,1.0,1.0,6.0,8,1.0,False,1.0,7.0,16.9,False,2.3,2666.0,357.8,2020.0,0.0,False,False,False,False,False,False,True,0,0,0,False,0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1920,1080,False,5,False,False,False,11260,0.0,1605.9126984126983,45.0,100.0,False,False,False,False,False,True,True,59999.0
